"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,249,"Should all drugs be legalised?","Drugs should remain banned because they are detrimental to the health of those who use them",16,94.21687,67.3494,0,6134.53519999999
2,155,"Is modern technology a disadvantage to society?","Technologically backwards countries have no power on the global stage",10,100,27.22892,0,7993.51840000004
3,101,"Is it ethically wrong to watch pornography?","Masturbation is natural and beneficial, and porn is a useful masturbation aid",12,100,71.56627,0,6724.66080000007
4,198,"Should Sex Work Be Legal?","The legalisation of sex work increases its prevalence, resulting in more harm",12,6.0241,41.80723,1,4223.82399999997
5,117,"Is Science Akin To Religion?","Science and religion are similar in that both have been used to explain the origin of man",17,77.71084,63.13253,0,10869.0861
6,107,"Is it ethically wrong to watch pornography?","Watching pornography contributes to human rights abuses, including gender inequality",10,5.42169,42.89157,1,5257.2949
7,200,"Should the sale of genetically modified food be banned?","Genetically modified foods can be harmful to the environment and ecosystems",11,50,20,1,3746.2901
8,173,"Should abortion be considered murder?","Since death is the intention, such procedures should be considered murder",11,0,37.3494,0,4808.3912
9,124,"Is Science Akin To Religion?","Unlike religion, science is based on evidence and experimentation, which is a more reliable methodology for attaining truth",18,68.91566,0,1,4316.10959999997
10,24,"Are Humans fundamentally different from other animals?","Humans have Human Consciousness which is ontologically and fundamentally different than any other form of consciousness",16,100,70.48193,0,5642.11680000002
11,177,"Should animal testing be banned?","There are preferable alternatives to animal testing that are more accurate and humane",13,89.51807,7.71084,0,6110.34560000002
12,227,"Should the use of plastic be avoided?","As long as it is reusable, there is nothing wrong with plastic",12,34.21687,20.24096,0,2842.17599999995
13,167,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","If people have the right to choose, they could make biased choices regarding which foetuses to abort",17,9.03614,0,1,8083.30560000011
14,21,"Are Humans fundamentally different from other animals?","Humans are intellectually superior to other beings on Earth",9,30.24096,13.01205,0,4620.17360000001
15,290,"Should we adapt to climate change rather than avert it?","If we decide to adapt to climate change, then we will lose the ability to avert it",17,27.59036,68.6747,1,4338.51310000007
