Index,URL,Claim,Argument,Pro_Con,Words
1,https://www.kialo.com/should-sex-work-be-legal-1413,Buying and selling sex should be legal for sex workers and their clients,The government has no right to outlaw an interaction between consenting adults; it should only prosecute sex workers or their patrons when these conditions are not met,pro,27
2,https://www.kialo.com/should-sex-work-be-legal-1413,Buying and selling sex should be legal for sex workers and their clients,Sex workers provide an important and valuable service that more people could access if it were legalised,pro,17
3,https://www.kialo.com/should-sex-work-be-legal-1413,Buying and selling sex should be legal for sex workers and their clients,"It is impossible to eradicate sex work as a profession. Therefore, it would be better to legalise it",pro,18
4,https://www.kialo.com/should-sex-work-be-legal-1413,Buying and selling sex should be legal for sex workers and their clients,"If sex work were legal, there would be less incentive for governments to provide exit strategies for those who want to get out of it",con,25
5,https://www.kialo.com/should-sex-work-be-legal-1413,Buying and selling sex should be legal for sex workers and their clients,Sex work is immoral and unethical,con,6
6,https://www.kialo.com/should-sex-work-be-legal-1413,Buying and selling sex should be legal for sex workers and their clients,"Legalising sex work reinforces discrimination based on skin colour, gender, and class",con,12
7,https://www.kialo.com/should-nuclear-energy-replace-fossil-fuels-9326,Nuclear energy should be used to replace fossil fuels,Nuclear energy holds much more potential than fossil fuels in evolving through technological breakthroughs and increased efficiency,pro,17
8,https://www.kialo.com/should-nuclear-energy-replace-fossil-fuels-9326,Nuclear energy should be used to replace fossil fuels,Nuclear energy is cleaner than fossil fuels,pro,7
9,https://www.kialo.com/should-nuclear-energy-replace-fossil-fuels-9326,Nuclear energy should be used to replace fossil fuels,Nuclear energy will benefit the global economy,pro,7
10,https://www.kialo.com/should-nuclear-energy-replace-fossil-fuels-9326,Nuclear energy should be used to replace fossil fuels,There is a concern in nuclear reactor safety and potential disaster to stakeholders,con,13
11,https://www.kialo.com/should-nuclear-energy-replace-fossil-fuels-9326,Nuclear energy should be used to replace fossil fuels,Nuclear energy is a nonrenewable source of energy,con,8
12,https://www.kialo.com/should-nuclear-energy-replace-fossil-fuels-9326,Nuclear energy should be used to replace fossil fuels,Rogue States and/or separatist forums can convert nuclear civilian energy projects to nuclear projects for war/warlike purpose thus posing a threat to others,con,23
13,https://www.kialo.com/should-nuclear-energy-replace-fossil-fuels-9326,Nuclear energy should be used to replace fossil fuels,Nuclear power plants are vulnerable to attacks,con,7
14,https://www.kialo.com/the-ethics-of-eating-animals-is-eating-meat-wrong-1229,Humans should stop eating animal meat,"Eating meat, in the majority of cases, involves the cruel and immoral treatment of animals",pro,15
15,https://www.kialo.com/the-ethics-of-eating-animals-is-eating-meat-wrong-1229,Humans should stop eating animal meat,Vegetarian diets directly and indirectly contribute to better health outcomes for all humans,pro,13
16,https://www.kialo.com/the-ethics-of-eating-animals-is-eating-meat-wrong-1229,Humans should stop eating animal meat,Ending the production of meat will be necessary in order to meet the growing food needs of the world's population,pro,20
17,https://www.kialo.com/the-ethics-of-eating-animals-is-eating-meat-wrong-1229,Humans should stop eating animal meat,Eating animals is harmful to the environment,pro,7
18,https://www.kialo.com/the-ethics-of-eating-animals-is-eating-meat-wrong-1229,Humans should stop eating animal meat,The taste of meat is delicious and brings many people pleasure in a manner that vegetarian food cannot fully imitate,con,20
19,https://www.kialo.com/the-ethics-of-eating-animals-is-eating-meat-wrong-1229,Humans should stop eating animal meat,Consuming meat is an important part of many cultures and religions,con,11
20,https://www.kialo.com/the-ethics-of-eating-animals-is-eating-meat-wrong-1229,Humans should stop eating animal meat,Ceasing to eat meat would harm the economy,con,8
21,https://www.kialo.com/the-ethics-of-eating-animals-is-eating-meat-wrong-1229,Humans should stop eating animal meat,"Eating meat is a key element of human nature, evolution, and physiology/biology and thus its consumption is inherent to humankind",con,20
22,https://www.kialo.com/no-one-should-feel-obliged-to-change-their-lifestyle-to-combat-global-warming-30084,No one should feel obliged to change their lifestyle to combat global warming,Politicians and political parties should be responsible for enacting the laws and regulations necessary to make changes at scale,pro,19
23,https://www.kialo.com/no-one-should-feel-obliged-to-change-their-lifestyle-to-combat-global-warming-30084,No one should feel obliged to change their lifestyle to combat global warming,Changes to individual lifestyles do not make a difference,pro,9
24,https://www.kialo.com/no-one-should-feel-obliged-to-change-their-lifestyle-to-combat-global-warming-30084,No one should feel obliged to change their lifestyle to combat global warming,Carbon offsets can mitigate your impact without having to make lifestyle changes,pro,12
25,https://www.kialo.com/no-one-should-feel-obliged-to-change-their-lifestyle-to-combat-global-warming-30084,No one should feel obliged to change their lifestyle to combat global warming,People in today's society should change their lifestyles because the quality of life of future generations is equally important,con,19
26,https://www.kialo.com/no-one-should-feel-obliged-to-change-their-lifestyle-to-combat-global-warming-30084,No one should feel obliged to change their lifestyle to combat global warming,People living in privileged positions have a moral responsibility to change their lifestyles,con,13
