Topic/Arguments,Pros,Cons,URL
Should sex work be legal?,3,3,https://www.kialo.com/should-sex-work-be-legal-1413
Should nuclear energy replace fossil fuels?,6,7,https://www.kialo.com/should-nuclear-energy-replace-fossil-fuels-9326
The ethics of eating animals: is eating meat wrong?,4,4,https://www.kialo.com/the-ethics-of-eating-animals-is-eating-meat-wrong-1229
No one should feel obliged to change their lifestyle to combat global warming,3,3,https://www.kialo.com/no-one-should-feel-obliged-to-change-their-lifestyle-to-combat-global-warming-30084
Pro-life vs pro-choice: should abortion be legal?,3,3,https://www.kialo.com/pro-life-vs-pro-choice-should-abortion-be-legal-5637
Should abortion be considered murder?,4,3,https://www.kialo.com/should-abortion-be-considered-murder-46872
"Darwinian evolution is a philosophy, not a science",8,7,https://www.kialo.com/is-darwinian-evolution-philosophy-or-science-18393
Is cloning animals ethical?,3,3,https://www.kialo.com/is-cloning-animals-ethical-7948
Do electronic devices help or hurt children's development?,6,9,https://www.kialo.com/do-electronic-devices-help-or-hurt-childrens-development-15819
Should there be a basic universal basic income?,4,3,https://www.kialo.com/should-there-be-a-universal-basic-income-ubi-1634
Modern technology is a disadvantage to society,8,5,https://www.kialo.com/modern-technology-is-a-disadvantage-to-society-31689
Did a divine being create the universe?,3,4,https://www.kialo.com/did-a-divine-being-create-the-universe-31848
A carbon tax should be implamented to subsidize the reduction of consumers' carbon footprint,5,7,https://www.kialo.com/a-carbon-tax-should-be-implemented-to-subsidize-the-reduction-of-consumers-carbon-footprint-25338
Is it ethically wrong to watch pornography?,6,6,https://www.kialo.com/is-it-ethically-wrong-to-watch-pornography-5428
Does feminism strive for equality?,5,7,https://www.kialo.com/does-feminism-strive-for-equality-12304
Should the sale of GMO be banned?,3,3,https://www.kialo.com/should-the-sale-of-genetically-modified-food-be-banned-17715
Is science akin to religion?,6,7,https://www.kialo.com/is-science-akin-to-religion-32184
Do video games have a positive effect on society?,3,3,https://www.kialo.com/do-video-games-have-a-positive-effect-on-society-7702
The use of plastic should be avoided,4,5,https://www.kialo.com/the-use-of-plastic-should-be-avoided-9344
Will man made climate change cause human extinction?,7,9,https://www.kialo.com/will-man-made-climate-change-cause-human-extinction-31221
Are humans fundamentally different from other animals?,8,4,https://www.kialo.com/are-humans-fundamentally-different-from-other-animals-9265
Is radiation from cell phones and wifi harmful?,4,3,https://www.kialo.com/is-radiation-from-cell-phones-and-wi-fi-harmful-10180
Is AI art theft?,7,5,https://www.kialo.com/is-ai-art-theft-60905
Should religion be involved in politics?,4,3,https://www.kialo.com/should-religion-be-involved-in-politics-54660
Lottery should be an integral component of democratic political systems,5,4,https://www.kialo.com/lottery-should-be-an-integral-component-of-democratic-political-systems-10220
Is social media helping or harming human relationships?,3,3,https://www.kialo.com/is-social-media-helping-or-harming-human-relationships-5763
