"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,287,"Should we adapt to climate change rather than avert it?","It is impossible to stop climate change and its impacts",10,0,4.81928,0,8736.21520000004
2,213,"Is Eating Meat Wrong?","Vegetarian diets directly and indirectly contribute to better health outcomes for all humans",13,80.36145,73.37349,0,7687.03279999998
3,228,"Should the use of plastic be avoided?","Plastic may just be replaced with something less environmentally sound. So it wouldn't make sense to",16,13.49398,18.07229,0,10946.1632
4,140,"Should lottery be an integral component of democratic political systems?","There would be less corruption as every time the lottery happens, all the corruption would leave",16,25.78313,30.72289,1,9051.59439999996
5,190,"Should religion be involved in politics?","Almost all laws are based on moral beliefs, therefore it is appropriate for religious persons to be involved in politics",20,60.24096,60.36145,1,6817.3872
6,149,"Is modern technology a disadvantage to society?","Relying too heavily on technology makes a society vulnerable",9,77.83133,1.68675,0,9143.78880000001
7,24,"Are Humans fundamentally different from other animals?","Humans have Human Consciousness which is ontologically and fundamentally different than any other form of consciousness",16,50,50,0,12931.9925
8,202,"Should the sale of genetically modified food be banned?","Genetically modified crops can work towards mitigating world hunger and nutritional deficiencies",12,76.38554,22.04819,1,13373.1104
9,203,"Should the sale of genetically modified food be banned?","A universal ban is not the right approach to addressing any potential problems with genetically modified foods",17,84.57831,30.72289,1,13174.7781999999
10,236,"Will man-made climate change cause human extinction?","Climate Change is slow. We can adapt within that timeframe",10,1.08434,0,0,8035.04990000001
11,21,"Are Humans fundamentally different from other animals?","Humans are intellectually superior to other beings on Earth",9,62.28916,60.48193,0,4218.91470000002
12,249,"Should all drugs be legalised?","Drugs should remain banned because they are detrimental to the health of those who use them",16,89.63855,21.08434,0,6922.47989999995
13,177,"Should animal testing be banned?","There are preferable alternatives to animal testing that are more accurate and humane",13,91.08434,75.42169,0,7680.05610000002
14,289,"Should we adapt to climate change rather than avert it?","Adaptation is a short-term solution, whereas averting climate change is a long-term solution",13,64.57831,4.21687,0,11170.2266000001
15,37,"Is Darwinian Evolution Philosophy or Science?","Darwin's theory has logical flaws and is therefore hardly in the realm of science",14,2.28916,90.84337,1,9522.22140000004
16,242,"Will man-made climate change cause human extinction?","Man-made carbon emissions are likely to protect humans from another ice age",12,9.75904,21.44578,0,7483.38450000001
17,56,"Do electronic devices help or hurt children's development?","Electronic devices help differently abled children read and write like other kids",12,75.42169,70.36145,1,7268.99070000006
18,136,"Should lottery be an integral component of democratic political systems?","Politics would be more representative under a lottery system",9,19.87952,24.81928,1,6413.9227
19,101,"Is it ethically wrong to watch pornography?","Masturbation is natural and beneficial, and porn is a useful masturbation aid",12,93.85542,78.55422,0,6435.46559999997
20,212,"Is Eating Meat Wrong?","Eating meat, in the majority of cases, involves the cruel and immoral treatment of animals",15,20.72289,30.96386,0,7677.02319999985
21,198,"Should Sex Work Be Legal?","The legalisation of sex work increases its prevalence, resulting in more harm",12,20.36145,51.44578,0,4731.97999999984
22,280,"Should there be no limit to freedom of speech?","Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies",13,84.57831,36.14458,0,4103.45039999994
23,164,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","People have a right to bodily autonomy and should ultimately be able to make choices about what happens to their bodies",21,94.45783,91.3253,0,10021.8528
24,29,"Are Humans fundamentally different from other animals?","Genetics prove humans are fundamentally very similar to other species",10,93.49398,82.40964,0,6414.57120000006
25,59,"Do electronic devices help or hurt children's development?","Using devices in school can negatively affect children's grades",9,21.3253,72.16867,0,4900.83299999975
26,232,"Will man-made climate change cause human extinction?","If tipping points are reached, the collapse of ecosystems can lead to the extinction of the human race",18,97.10843,21.20482,0,7834.28189999982
27,181,"Should nuclear energy replace fossil fuels?","Nuclear energy holds much more potential than fossil fuels in evolving through technological breakthroughs and increased efficiency",17,70.36145,24.33735,1,6937.72320000001
28,221,"Should the use of plastic be avoided?","The less plastic we use, the less plastic we need to produce",12,86.98795,73.73494,0,5228.25359999994
29,126,"Is Science Akin To Religion?","Surveying definitions of religion shows a focus on divinity and spirituality, which are not present in Western science at all",20,1.80723,50,0,10689.4800000004
30,290,"Should we adapt to climate change rather than avert it?","If we decide to adapt to climate change, then we will lose the ability to avert it",17,71.56627,3.73494,0,10559.4112000002
31,54,"Do electronic devices help or hurt children's development?","Devices can benefit parents by offering them greater control over their children's development",13,18.55422,31.68675,0,7907.25230000017
32,216,"Is Eating Meat Wrong?","The taste of meat is delicious and brings many people pleasure in a manner that vegetarian food cannot fully imitate",20,59.51807,61.08434,0,7465.96610000002
33,121,"Is Science Akin To Religion?","Science and religion both need belief in something that you do not personally understand to function",16,98.79518,50,0,4712.26860000019
34,113,"Is radiation from cell phones and Wi-Fi harmful?","Cell phone radiation increases the permeability of the blood-brain barrier",10,35.54217,50,1,6617.98160000029
35,112,"Is radiation from cell phones and Wi-Fi harmful?","Cell phone radiation is absorbed more by children's brains than by adult's brains",13,50,50,1,4772.51359999983
