Order,Index,Topic,Argument,Words,Agreement,Emotions,New
1,188,Should religion be involved in politics?,The involvement of religion in politics is necessary to ensure laws and policies are ethical,15,7.46988,30.72289,0
2,216,Is Eating Meat Wrong?,The taste of meat is delicious and brings many people pleasure in a manner that vegetarian food cannot fully imitate,20,58.55422,39.63855,0
3,199,Should the sale of genetically modified food be banned?,Genetically modified food endangers the health of people who consume it,11,63.25301,42.04819,0
4,37,Is Darwinian Evolution Philosophy or Science?,Darwin's theory has logical flaws and is therefore hardly in the realm of science,14,23.61446,39.63855,1
5,281,Should there be no limit to freedom of speech?,"One person's freedom ends where another's begins: offensive, threatening speech should be illegal",13,94.09639,63.49398,0
6,128,Is Science Akin To Religion?,"There exist many kinds of different religions, some are akin to science, and some are not",16,36.14458,38.91566,0
7,190,Should religion be involved in politics?,"Almost all laws are based on moral beliefs, therefore it is appropriate for religious persons to be involved in politics",20,33.49398,45.3012,0
8,49,Did a divine being create the universe?,Science offers alternative explanations for the origin of the universe,10,86.62651,67.22892,0
9,203,Should the sale of genetically modified food be banned?,A universal ban is not the right approach to addressing any potential problems with genetically modified foods,17,42.53012,56.38554,0
10,161,Should some people feel obliged to change their lifestyle to combat global warming?,People in today's society should change their lifestyles because the quality of life of future generations is equally important,19,76.62651,59.27711,0
11,164,Pro-Life vs Pro-Choice: Should Abortion be Legal?,People have a right to bodily autonomy and should ultimately be able to make choices about what happens to their bodies,21,91.44578,42.77108,0
12,29,Are Humans fundamentally different from other animals?,Genetics prove humans are fundamentally very similar to other species,10,65.06024,50.0,0
13,222,Should the use of plastic be avoided?,"Plastics are exported and, therefore, less plastic reduces emissions that result from transportation",13,66.62651,56.0241,0
14,287,Should we adapt to climate change rather than avert it?,It is impossible to stop climate change and its impacts,10,42.53012,23.85542,0
15,149,Is modern technology a disadvantage to society?,Relying too heavily on technology makes a society vulnerable,9,41.92771,43.9759,0
16,213,Is Eating Meat Wrong?,Vegetarian diets directly and indirectly contribute to better health outcomes for all humans,13,68.79518,61.92771,0
17,159,Should some people feel obliged to change their lifestyle to combat global warming?,Changes to individual lifestyles do not make a difference,9,63.73494,36.86747,0
