"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,280,"Should there be no limit to freedom of speech?","Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies",13,63.49398,36.14458,0,5383.56639999999
2,60,"Do electronic devices help or hurt children's development?","Devices can negatively affect children's social and psychological development",9,73.01205,42.6506,1,4966.67760000003
3,281,"Should there be no limit to freedom of speech?","One person's freedom ends where another's begins: offensive, threatening speech should be illegal",13,66.74699,34.6988,0,10219.5512000001
4,107,"Is it ethically wrong to watch pornography?","Watching pornography contributes to human rights abuses, including gender inequality",10,16.0241,57.22892,0,5108.73440000001
5,166,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","The ability for people to control their own reproduction is fundamental to achieving gender equality",15,24.57831,36.38554,0,5263.03360000002
6,198,"Should Sex Work Be Legal?","The legalisation of sex work increases its prevalence, resulting in more harm",12,54.09639,46.0241,0,3925.08
7,276,"Should there be no limit to freedom of speech?","Isolated speech has zero capacity to inflict physical harm",9,36.62651,39.03614,0,7516.72639999999
8,236,"Will man-made climate change cause human extinction?","Climate Change is slow. We can adapt within that timeframe",10,39.87952,42.89157,0,7403.7704
9,116,"Is radiation from cell phones and Wi-Fi harmful?","Cell phones and Wi-Fi emit non-ionising radiation, which is not harmful in small doses",14,83.73494,72.04819,0,6599.93120000002
10,176,"Should abortion be considered murder?","Equating abortion with murder would cause women to use unsafe methods and put their lives at risk",17,70.12048,37.3494,0,3925.0272
11,175,"Should abortion be considered murder?","A fetus or embryo is not a person; therefore, abortion should not be considered murder",15,77.10843,39.27711,0,3454.90480000017
12,219,"Is Eating Meat Wrong?","Eating meat is a key element of human nature, evolution, and physiology/biology and thus its consumption is inherent to humankind",20,41.80723,29.87952,0,4350.19199999987
13,157,"Is modern technology a disadvantage to society?","Technology has forever changed day-to-day life for the better",9,84.6988,43.73494,0,3533.79440000004
14,151,"Is modern technology a disadvantage to society?","We are unable to enjoy the present moments in our life due to technology",14,42.77108,44.93976,0,3900.18799999982
15,112,"Is radiation from cell phones and Wi-Fi harmful?","Cell phone radiation is absorbed more by children's brains than by adult's brains",13,44.81928,43.13253,0,4234.90319999992
16,180,"Should animal testing be banned?","Animal testing is an effective method of testing products",9,56.38554,19.51807,0,3275.03599999994
17,204,"Should the sale of genetically modified food be banned?","GMOs are more cost effective than unmodified foods, bringing many benefits",11,82.16867,81.20482,0,7927.31360000014
18,115,"Is radiation from cell phones and Wi-Fi harmful?","The effects of cell phones and Wi-Fi are minimal at best",11,55.90361,42.89157,0,3933.53199999995
