"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,60,"Do electronic devices help or hurt children's development?","Devices can negatively affect children's social and psychological development",9,75.90361,35.42169,1,11865.5224
2,237,"Will man-made climate change cause human extinction?","Evidences and statistics suggest that actions taken by us are enough to deal with major climate change",17,60.48193,36.38554,1,9942.61150000007
3,180,"Should animal testing be banned?","Animal testing is an effective method of testing products",9,9.27711,15.06024,0,9833.55120000002
4,227,"Should the use of plastic be avoided?","As long as it is reusable, there is nothing wrong with plastic",12,26.74699,44.33735,0,6257.55809999998
5,198,"Should Sex Work Be Legal?","The legalisation of sex work increases its prevalence, resulting in more harm",12,31.3253,35.06024,0,6800.35039999997
6,31,"Is Darwinian Evolution Philosophy or Science?","No single example of evolution has ever been documented",9,33.01205,46.14458,0,7350.44560000007
7,247,"Should all drugs be legalised?","Using drugs can be an important and positive experience for individuals and communities",13,34.45783,41.20482,1,6583.47360000016
8,50,"Did a divine being create the universe?","Observations have dwindled for God's creative power as humanity has advanced",11,55.54217,48.79518,0,9391.98530000006
9,150,"Is modern technology a disadvantage to society?","Technology allows individuals to own or control property at a distance, lessening that individual's direct responsibility for the property",19,64.93976,59.63855,1,19500.9271999999
10,112,"Is radiation from cell phones and Wi-Fi harmful?","Cell phone radiation is absorbed more by children's brains than by adult's brains",13,34.57831,42.53012,1,8208.11539999975
11,245,"Should all drugs be legalised?","The enforcement of the criminalisation of drugs has harmed communities around the world and should be stopped",17,63.73494,41.80723,1,6724.48370000001
12,232,"Will man-made climate change cause human extinction?","If tipping points are reached, the collapse of ecosystems can lead to the extinction of the human race",18,89.39759,25.90361,0,18668.3280000001
13,246,"Should all drugs be legalised?","If drugs were legalised, the drug trade would be less able to fuel serious crime",15,81.3253,57.22892,0,8773.47679999997
14,213,"Is Eating Meat Wrong?","Vegetarian diets directly and indirectly contribute to better health outcomes for all humans",13,78.55422,61.3253,0,5493.93919999991
15,21,"Are Humans fundamentally different from other animals?","Humans are intellectually superior to other beings on Earth",9,61.56627,50,0,8882.29199999996
16,158,"Should some people feel obliged to change their lifestyle to combat global warming?","Politicians and political parties should be responsible for enacting the laws and regulations necessary to make changes at scale",19,70.12048,42.04819,0,16359.4112000002
17,276,"Should there be no limit to freedom of speech?","Isolated speech has zero capacity to inflict physical harm",9,20.84337,38.31325,1,5849.45250000007
18,54,"Do electronic devices help or hurt children's development?","Devices can benefit parents by offering them greater control over their children's development",13,28.55422,65.78313,0,9515.19040000014
19,140,"Should lottery be an integral component of democratic political systems?","There would be less corruption as every time the lottery happens, all the corruption would leave",16,27.10843,40.72289,1,6515.6603000004
20,194,"Should religion be involved in politics?","Politics and religion should be put aside. Three aspects of life should NOT co-exist: religion-state-army",15,80,57.46988,0,9835.59330000048
21,176,"Should abortion be considered murder?","Equating abortion with murder would cause women to use unsafe methods and put their lives at risk",17,100,18.55422,0,12783.9208000005
22,217,"Is Eating Meat Wrong?","Consuming meat is an important part of many cultures and religions",11,80.84337,45.78313,0,3015.18190000014
23,164,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","People have a right to bodily autonomy and should ultimately be able to make choices about what happens to their bodies",21,96.86747,82.40964,0,7200.03569999989
24,200,"Should the sale of genetically modified food be banned?","Genetically modified foods can be harmful to the environment and ecosystems",11,73.25301,34.33735,0,5716.91869999963
25,220,"Should the use of plastic be avoided?","The less plastic we use, the less plastic pollution there will be",12,68.07229,50,0,5050.2871999999
26,188,"Should religion be involved in politics?","The involvement of religion in politics is necessary to ensure laws and policies are ethical",15,8.19277,34.45783,0,4501.17489999987
