"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,177,"Should animal testing be banned?","There are preferable alternatives to animal testing that are more accurate and humane",13,63.13253,32.16867,0,12293.5856
2,112,"Is radiation from cell phones and Wi-Fi harmful?","Cell phone radiation is absorbed more by children's brains than by adult's brains",13,50,33.49398,1,11166.8112
3,54,"Do electronic devices help or hurt children's development?","Devices can benefit parents by offering them greater control over their children's development",13,24.57831,41.92771,0,13158.6739999999
4,23,"Are Humans fundamentally different from other animals?","Humans have a sense of self-awareness and individual identity",9,71.80723,50,1,10258.7019999999
5,175,"Should abortion be considered murder?","A fetus or embryo is not a person; therefore, abortion should not be considered murder",15,100,100,0,6707.97640000001
6,181,"Should nuclear energy replace fossil fuels?","Nuclear energy holds much more potential than fossil fuels in evolving through technological breakthroughs and increased efficiency",17,59.15663,18.6747,0,11692.1144
7,130,"Is social media helping or harming human relationships?","Social media has made it easier to communicate, improving the quality of communication",13,96.38554,93.73494,0,10283.216
8,31,"Is Darwinian Evolution Philosophy or Science?","No single example of evolution has ever been documented",9,20.36145,29.27711,1,8734.72799999989
9,161,"Should some people feel obliged to change their lifestyle to combat global warming?","People in today's society should change their lifestyles because the quality of life of future generations is equally important",19,87.46988,71.20482,0,22226.9163999999
10,217,"Is Eating Meat Wrong?","Consuming meat is an important part of many cultures and religions",11,54.93976,40.48193,1,5200.56040000002
11,249,"Should all drugs be legalised?","Drugs should remain banned because they are detrimental to the health of those who use them",16,66.38554,36.50602,0,7124.14479999989
12,24,"Are Humans fundamentally different from other animals?","Humans have Human Consciousness which is ontologically and fundamentally different than any other form of consciousness",16,55.06024,46.14458,1,10684.7556
13,119,"Is Science Akin To Religion?","Science and religion both use personal experience as a means to understand existence",13,35.54217,41.80723,1,13149.2272
14,232,"Will man-made climate change cause human extinction?","If tipping points are reached, the collapse of ecosystems can lead to the extinction of the human race",18,89.39759,22.89157,0,11633.764
15,212,"Is Eating Meat Wrong?","Eating meat, in the majority of cases, involves the cruel and immoral treatment of animals",15,80.72289,35.3012,0,5284.52399999998
16,233,"Will man-made climate change cause human extinction?","Human evolution is slower than the rate of climate change, making it difficult for humans to adapt to climate change",20,93.61446,31.56627,1,11557.9672
17,153,"Is modern technology a disadvantage to society?","Our society is changing at a pace that must be matched by technological development to prevent disaster",17,19.39759,30,1,16701.9111999996
18,47,"Did a divine being create the universe?","Many complex phenomena and interactions in the universe indicate the work of a creator",14,0,96.86747,1,10241.9704
19,62,"Do electronic devices help or hurt children's development?","Boredom sparks creativity but with a smartphone children are never bored and don't learn to be creative",17,56.14458,47.71084,1,14417.1571999999
20,188,"Should religion be involved in politics?","The involvement of religion in politics is necessary to ensure laws and policies are ethical",15,14.09639,64.33735,0,5275.21960000007
21,193,"Should religion be involved in politics?","Involving religion in politics is antithetical to the principles of a secular democratic society",14,65.3012,31.44578,1,13767.2423999996
22,236,"Will man-made climate change cause human extinction?","Climate Change is slow. We can adapt within that timeframe",10,1.44578,33.13253,1,7566.54559999995
23,50,"Did a divine being create the universe?","Observations have dwindled for God's creative power as humanity has advanced",11,2.89157,89.39759,1,6216.73840000009
24,246,"Should all drugs be legalised?","If drugs were legalised, the drug trade would be less able to fuel serious crime",15,81.56627,65.3012,0,9891.69879999978
25,162,"Should some people feel obliged to change their lifestyle to combat global warming?","People living in privileged positions have a moral responsibility to change their lifestyles",13,53.9759,32.28916,0,12025.4556000001
26,158,"Should some people feel obliged to change their lifestyle to combat global warming?","Politicians and political parties should be responsible for enacting the laws and regulations necessary to make changes at scale",19,92.04819,34.81928,0,7509.11679999973
27,247,"Should all drugs be legalised?","Using drugs can be an important and positive experience for individuals and communities",13,62.53012,23.73494,0,7224.51840000012
28,237,"Will man-made climate change cause human extinction?","Evidences and statistics suggest that actions taken by us are enough to deal with major climate change",17,59.39759,61.08434,0,10816.5143999999
29,281,"Should there be no limit to freedom of speech?","One person's freedom ends where another's begins: offensive, threatening speech should be illegal",13,97.59036,89.39759,0,6276.09839999961
30,288,"Should we adapt to climate change rather than avert it?","Humanity has a long history of successfully adapting to climate change",11,16.0241,83.37349,1,9383.08480000001
