Order,Index,Topic,Argument,Words,Agreement,Emotions,New
1,230,Will man-made climate change cause human extinction?,Animal species have already started to become extinct. Human extinction is likely to follow,14,81.44578,50.0,0
2,138,Should lottery be an integral component of democratic political systems?,Politicians elected via lottery would be better at their job,10,6.38554,50.0,1
3,246,Should all drugs be legalised?,"If drugs were legalised, the drug trade would be less able to fuel serious crime",15,50.0,21.80723,0
4,101,Is it ethically wrong to watch pornography?,"Masturbation is natural and beneficial, and porn is a useful masturbation aid",12,0.36145,0.0,1
5,196,Should Sex Work Be Legal?,"It is impossible to eradicate sex work as a profession. Therefore, it would be better to legalise it",18,50.0,0.60241,0
6,232,Will man-made climate change cause human extinction?,"If tipping points are reached, the collapse of ecosystems can lead to the extinction of the human race",18,86.14458,50.0,0
7,233,Will man-made climate change cause human extinction?,"Human evolution is slower than the rate of climate change, making it difficult for humans to adapt to climate change",20,13.73494,50.0,0
8,247,Should all drugs be legalised?,Using drugs can be an important and positive experience for individuals and communities,13,50.0,50.0,0
9,173,Should abortion be considered murder?,"Since death is the intention, such procedures should be considered murder",11,99.03614,0.48193,0
10,159,Should some people feel obliged to change their lifestyle to combat global warming?,Changes to individual lifestyles do not make a difference,9,50.0,50.0,0
11,242,Will man-made climate change cause human extinction?,Man-made carbon emissions are likely to protect humans from another ice age,12,6.26506,50.0,1
12,280,Should there be no limit to freedom of speech?,Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies,13,65.18072,50.0,0
13,237,Will man-made climate change cause human extinction?,Evidences and statistics suggest that actions taken by us are enough to deal with major climate change,17,50.0,50.0,0
14,156,Is modern technology a disadvantage to society?,Many societies would not be possible without modern technology - especially large urbanized societies,14,84.57831,50.0,1
15,115,Is radiation from cell phones and Wi-Fi harmful?,The effects of cell phones and Wi-Fi are minimal at best,11,50.0,50.0,1
16,228,Should the use of plastic be avoided?,Plastic may just be replaced with something less environmentally sound. So it wouldn't make sense to,16,99.75904,12.53012,0
17,54,Do electronic devices help or hurt children's development?,Devices can benefit parents by offering them greater control over their children's development,13,50.0,50.0,0
18,229,Will man-made climate change cause human extinction?,The effects of global warming directly threaten the land and environment that humans need to live,16,91.80723,50.0,0
19,50,Did a divine being create the universe?,Observations have dwindled for God's creative power as humanity has advanced,11,0.0,3.73494,0
20,176,Should abortion be considered murder?,Equating abortion with murder would cause women to use unsafe methods and put their lives at risk,17,50.0,0.24096,0
21,221,Should the use of plastic be avoided?,"The less plastic we use, the less plastic we need to produce",12,0.24096,8.91566,0
22,286,Should we adapt to climate change rather than avert it?,Adapting to climate change would be faster than averting it,10,50.0,50.0,0
23,213,Is Eating Meat Wrong?,Vegetarian diets directly and indirectly contribute to better health outcomes for all humans,13,8.19277,13.37349,0
24,143,Should lottery be an integral component of democratic political systems?,Being appointed to a position of power by lottery would leave many people overwhelmed and unprepared,16,72.89157,50.0,1
25,181,Should nuclear energy replace fossil fuels?,Nuclear energy holds much more potential than fossil fuels in evolving through technological breakthroughs and increased efficiency,17,50.0,50.0,0
26,249,Should all drugs be legalised?,Drugs should remain banned because they are detrimental to the health of those who use them,16,62.16867,50.0,0
27,199,Should the sale of genetically modified food be banned?,Genetically modified food endangers the health of people who consume it,11,50.0,50.0,0
28,116,Is radiation from cell phones and Wi-Fi harmful?,"Cell phones and Wi-Fi emit non-ionising radiation, which is not harmful in small doses",14,19.75904,23.13253,1
29,49,Did a divine being create the universe?,Science offers alternative explanations for the origin of the universe,10,0.24096,0.0,0
30,151,Is modern technology a disadvantage to society?,We are unable to enjoy the present moments in our life due to technology,14,77.3494,19.51807,0
31,149,Is modern technology a disadvantage to society?,Relying too heavily on technology makes a society vulnerable,9,50.0,50.0,0
32,203,Should the sale of genetically modified food be banned?,A universal ban is not the right approach to addressing any potential problems with genetically modified foods,17,23.01205,15.66265,1
33,245,Should all drugs be legalised?,The enforcement of the criminalisation of drugs has harmed communities around the world and should be stopped,17,50.0,50.0,0
