"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,173,"Should abortion be considered murder?","Since death is the intention, such procedures should be considered murder",11,21.44578,31.3253,0,8584.20400000003
2,158,"Should some people feel obliged to change their lifestyle to combat global warming?","Politicians and political parties should be responsible for enacting the laws and regulations necessary to make changes at scale",19,71.08434,35.54217,0,16608.7039999999
3,107,"Is it ethically wrong to watch pornography?","Watching pornography contributes to human rights abuses, including gender inequality",10,20.12048,59.15663,0,8757.23519999997
4,117,"Is Science Akin To Religion?","Science and religion are similar in that both have been used to explain the origin of man",17,0,31.68675,0,12325.2000000001
5,159,"Should some people feel obliged to change their lifestyle to combat global warming?","Changes to individual lifestyles do not make a difference",9,42.16867,40.36145,0,13521.1352999999
6,216,"Is Eating Meat Wrong?","The taste of meat is delicious and brings many people pleasure in a manner that vegetarian food cannot fully imitate",20,71.80723,56.74699,0,8545.79199999999
7,156,"Is modern technology a disadvantage to society?","Many societies would not be possible without modern technology - especially large urbanized societies",14,69.87952,50,0,13022.1304
8,196,"Should Sex Work Be Legal?","It is impossible to eradicate sex work as a profession. Therefore, it would be better to legalise it",18,38.31325,44.33735,0,10559.0321000001
9,26,"Are Humans fundamentally different from other animals?","All animals are fundamentally different from each other, and there's nothing unique about humans that separate them from animals",19,19.39759,30.72289,0,7552.34629999995
10,60,"Do electronic devices help or hurt children's development?","Devices can negatively affect children's social and psychological development",9,68.79518,50,0,13223.8833
11,246,"Should all drugs be legalised?","If drugs were legalised, the drug trade would be less able to fuel serious crime",15,42.16867,50,0,11040.7728999999
12,157,"Is modern technology a disadvantage to society?","Technology has forever changed day-to-day life for the better",9,79.51807,70.96386,0,4824.97279999999
13,190,"Should religion be involved in politics?","Almost all laws are based on moral beliefs, therefore it is appropriate for religious persons to be involved in politics",20,19.75904,50,0,8554.04079999985
14,213,"Is Eating Meat Wrong?","Vegetarian diets directly and indirectly contribute to better health outcomes for all humans",13,29.63855,34.09639,0,5968.30569999988
15,214,"Is Eating Meat Wrong?","Ending the production of meat will be necessary in order to meet the growing food needs of the world's population",20,97.83133,76.14458,0,10727.1649000001
16,62,"Do electronic devices help or hurt children's development?","Boredom sparks creativity but with a smartphone children are never bored and don't learn to be creative",17,54.57831,61.3253,0,7616.98400000034
17,161,"Should some people feel obliged to change their lifestyle to combat global warming?","People in today's society should change their lifestyles because the quality of life of future generations is equally important",19,62.6506,42.04819,0,6059.1391999998
18,272,"Should there be no limit to freedom of speech?","Censorship leads to narrow mindedness by preventing sincere and open discussion",11,36.74699,46.98795,1,7416.79599999991
19,167,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","If people have the right to choose, they could make biased choices regarding which foetuses to abort",17,35.78313,29.39759,0,9077.36719999981
20,289,"Should we adapt to climate change rather than avert it?","Adaptation is a short-term solution, whereas averting climate change is a long-term solution",13,58.07229,50,0,15604.0968000001
21,195,"Should Sex Work Be Legal?","The government has no right to outlaw an interaction between consenting adults",12,93.9759,45.42169,0,4528.03139999981
22,281,"Should there be no limit to freedom of speech?","One person's freedom ends where another's begins: offensive, threatening speech should be illegal",13,59.39759,43.73494,0,18596.7488000002
23,198,"Should Sex Work Be Legal?","The legalisation of sex work increases its prevalence, resulting in more harm",12,62.53012,50,0,7458.29760000034
24,245,"Should all drugs be legalised?","The enforcement of the criminalisation of drugs has harmed communities around the world and should be stopped",17,54.93976,50,0,3941.72009999992
25,194,"Should religion be involved in politics?","Politics and religion should be put aside. Three aspects of life should NOT co-exist: religion-state-army",15,33.01205,42.77108,1,11275.1031999999
26,247,"Should all drugs be legalised?","Using drugs can be an important and positive experience for individuals and communities",13,1.68675,22.89157,1,3050.56569999998
27,123,"Is Science Akin To Religion?","Science is highly dynamic and constantly evolving; religions are usually static and conservatory",13,74.93976,53.73494,0,5358.5074
28,203,"Should the sale of genetically modified food be banned?","A universal ban is not the right approach to addressing any potential problems with genetically modified foods",17,52.77108,45.3012,1,10802.5713000001
29,162,"Should some people feel obliged to change their lifestyle to combat global warming?","People living in privileged positions have a moral responsibility to change their lifestyles",13,80.96386,66.98795,0,7925.41050000017
30,200,"Should the sale of genetically modified food be banned?","Genetically modified foods can be harmful to the environment and ecosystems",11,73.61446,43.49398,0,3301.48489999998
31,176,"Should abortion be considered murder?","Equating abortion with murder would cause women to use unsafe methods and put their lives at risk",17,82.77108,32.6506,0,12816.7240000001
32,212,"Is Eating Meat Wrong?","Eating meat, in the majority of cases, involves the cruel and immoral treatment of animals",15,65.06024,42.77108,0,11495.1232000001
33,24,"Are Humans fundamentally different from other animals?","Humans have Human Consciousness which is ontologically and fundamentally different than any other form of consciousness",16,96.62651,50,0,7058.70479999995
34,124,"Is Science Akin To Religion?","Unlike religion, science is based on evidence and experimentation, which is a more reliable methodology for attaining truth",18,87.59036,79.03614,0,7307.79199999996
35,217,"Is Eating Meat Wrong?","Consuming meat is an important part of many cultures and religions",11,59.75904,59.03614,0,5546.3391000001
36,204,"Should the sale of genetically modified food be banned?","GMOs are more cost effective than unmodified foods, bringing many benefits",11,55.18072,44.45783,1,9432.88579999993
37,119,"Is Science Akin To Religion?","Science and religion both use personal experience as a means to understand existence",13,27.46988,53.25301,1,5293.44410000014
38,153,"Is modern technology a disadvantage to society?","Our society is changing at a pace that must be matched by technological development to prevent disaster",17,67.83133,50,0,8655.49900000001
39,286,"Should we adapt to climate change rather than avert it?","Adapting to climate change would be faster than averting it",10,43.49398,50,0,7423.95240000036
40,56,"Do electronic devices help or hurt children's development?","Electronic devices help differently abled children read and write like other kids",12,77.10843,50,0,8135.44160000014
41,121,"Is Science Akin To Religion?","Science and religion both need belief in something that you do not personally understand to function",16,34.09639,50,0,8349.12269999995
42,181,"Should nuclear energy replace fossil fuels?","Nuclear energy holds much more potential than fossil fuels in evolving through technological breakthroughs and increased efficiency",17,44.57831,50,0,9846.8737
43,249,"Should all drugs be legalised?","Drugs should remain banned because they are detrimental to the health of those who use them",16,86.62651,50,0,6697.49439999974
44,59,"Do electronic devices help or hurt children's development?","Using devices in school can negatively affect children's grades",9,45.06024,45.54217,0,11099.3640999993
45,23,"Are Humans fundamentally different from other animals?","Humans have a sense of self-awareness and individual identity",9,93.25301,50,0,3416.8768000002
46,21,"Are Humans fundamentally different from other animals?","Humans are intellectually superior to other beings on Earth",9,97.95181,50,0,8044.82879999978
47,193,"Should religion be involved in politics?","Involving religion in politics is antithetical to the principles of a secular democratic society",14,65.90361,43.01205,0,11296.7168999999
48,184,"Should nuclear energy replace fossil fuels?","There is a concern in nuclear reactor safety and potential disaster to stakeholders",13,44.93976,45.66265,0,6176.83040000009
49,175,"Should abortion be considered murder?","A fetus or embryo is not a person; therefore, abortion should not be considered murder",15,30.24096,35.06024,0,6808.36249999935
50,199,"Should the sale of genetically modified food be banned?","Genetically modified food endangers the health of people who consume it",11,60.84337,50,0,15055.5728
51,287,"Should we adapt to climate change rather than avert it?","It is impossible to stop climate change and its impacts",10,43.61446,50,0,6133.86409999989
52,149,"Is modern technology a disadvantage to society?","Relying too heavily on technology makes a society vulnerable",9,34.33735,50,0,10584.7553000004
53,126,"Is Science Akin To Religion?","Surveying definitions of religion shows a focus on divinity and spirituality, which are not present in Western science at all",20,33.73494,50,1,10934.1424999997
54,202,"Should the sale of genetically modified food be banned?","Genetically modified crops can work towards mitigating world hunger and nutritional deficiencies",12,54.45783,43.49398,1,10259.3944000007
55,150,"Is modern technology a disadvantage to society?","Technology allows individuals to own or control property at a distance, lessening that individual's direct responsibility for the property",19,47.95181,50,0,17709.0497000002
56,276,"Should there be no limit to freedom of speech?","Isolated speech has zero capacity to inflict physical harm",9,41.56627,50,0,4767.30000000063
57,152,"Is modern technology a disadvantage to society?","Modern Technology is outpacing our ability to comprehend, write and approve any effective policy that can protect us from technological harm",21,48.43373,50,1,10933.6568999996
