"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,222,"Should the use of plastic be avoided?","Plastics are exported and, therefore, less plastic reduces emissions that result from transportation",13,87.10843,86.98795,0,3741.64560000002
2,184,"Should nuclear energy replace fossil fuels?","There is a concern in nuclear reactor safety and potential disaster to stakeholders",13,81.56627,42.89157,0,12885.5128
3,49,"Did a divine being create the universe?","Science offers alternative explanations for the origin of the universe",10,100,100,0,5364.54640000004
4,290,"Should we adapt to climate change rather than avert it?","If we decide to adapt to climate change, then we will lose the ability to avert it",17,27.46988,24.45783,1,19691.1839999999
5,212,"Is Eating Meat Wrong?","Eating meat, in the majority of cases, involves the cruel and immoral treatment of animals",15,75.42169,30.24096,0,7361.7065000001
6,138,"Should lottery be an integral component of democratic political systems?","Politicians elected via lottery would be better at their job",10,50,33.49398,1,14063.1583999999
7,173,"Should abortion be considered murder?","Since death is the intention, such procedures should be considered murder",11,0,0,0,5808.38639999987
8,181,"Should nuclear energy replace fossil fuels?","Nuclear energy holds much more potential than fossil fuels in evolving through technological breakthroughs and increased efficiency",17,81.68675,75.90361,0,14399.9928
9,101,"Is it ethically wrong to watch pornography?","Masturbation is natural and beneficial, and porn is a useful masturbation aid",12,86.74699,87.59036,0,7541.83039999995
10,62,"Do electronic devices help or hurt children's development?","Boredom sparks creativity but with a smartphone children are never bored and don't learn to be creative",17,100,13.49398,0,13808.2303999998
11,249,"Should all drugs be legalised?","Drugs should remain banned because they are detrimental to the health of those who use them",16,67.95181,35.54217,0,14379.6591999999
12,237,"Will man-made climate change cause human extinction?","Evidences and statistics suggest that actions taken by us are enough to deal with major climate change",17,32.16867,20.12048,0,11242.0248
13,31,"Is Darwinian Evolution Philosophy or Science?","No single example of evolution has ever been documented",9,50,18.91566,1,8853.17520000015
14,220,"Should the use of plastic be avoided?","The less plastic we use, the less plastic pollution there will be",12,87.46988,89.51807,0,11625.3391999999
15,151,"Is modern technology a disadvantage to society?","We are unable to enjoy the present moments in our life due to technology",14,80.72289,20.72289,0,5616.7015999998
16,213,"Is Eating Meat Wrong?","Vegetarian diets directly and indirectly contribute to better health outcomes for all humans",13,50,71.20482,0,5900.00639999996
17,219,"Is Eating Meat Wrong?","Eating meat is a key element of human nature, evolution, and physiology/biology and thus its consumption is inherent to humankind",20,50,26.98795,0,22807.1104000002
18,37,"Is Darwinian Evolution Philosophy or Science?","Darwin's theory has logical flaws and is therefore hardly in the realm of science",14,50,26.14458,1,9225.10400000011
19,155,"Is modern technology a disadvantage to society?","Technologically backwards countries have no power on the global stage",10,81.92771,8.6747,0,8590.09839999984
20,56,"Do electronic devices help or hurt children's development?","Electronic devices help differently abled children read and write like other kids",12,100,100,0,8097.07360000029
21,50,"Did a divine being create the universe?","Observations have dwindled for God's creative power as humanity has advanced",11,85.06024,83.9759,1,6905.66160000005
22,60,"Do electronic devices help or hurt children's development?","Devices can negatively affect children's social and psychological development",9,89.03614,24.21687,0,9323.42320000037
23,23,"Are Humans fundamentally different from other animals?","Humans have a sense of self-awareness and individual identity",9,73.9759,50,0,19225.8936000005
24,288,"Should we adapt to climate change rather than avert it?","Humanity has a long history of successfully adapting to climate change",11,50,50,0,11524.1752000002
25,162,"Should some people feel obliged to change their lifestyle to combat global warming?","People living in privileged positions have a moral responsibility to change their lifestyles",13,75.78313,76.26506,0,5384.97519999999
26,24,"Are Humans fundamentally different from other animals?","Humans have Human Consciousness which is ontologically and fundamentally different than any other form of consciousness",16,40.36145,33.73494,0,13880.372
27,204,"Should the sale of genetically modified food be banned?","GMOs are more cost effective than unmodified foods, bringing many benefits",11,50,50,0,11325.6112000002
28,157,"Is modern technology a disadvantage to society?","Technology has forever changed day-to-day life for the better",9,20.12048,25.66265,0,6100.10560000001
29,287,"Should we adapt to climate change rather than avert it?","It is impossible to stop climate change and its impacts",10,60.60241,24.57831,0,8883.56960000005
30,198,"Should Sex Work Be Legal?","The legalisation of sex work increases its prevalence, resulting in more harm",12,41.56627,39.87952,0,7973.46880000003
31,233,"Will man-made climate change cause human extinction?","Human evolution is slower than the rate of climate change, making it difficult for humans to adapt to climate change",20,76.38554,27.10843,0,9868.41609999968
32,195,"Should Sex Work Be Legal?","The government has no right to outlaw an interaction between consenting adults",12,58.07229,32.53012,1,8676.86880000041
33,229,"Will man-made climate change cause human extinction?","The effects of global warming directly threaten the land and environment that humans need to live",16,85.90361,15.06024,0,8240.85360000026
34,119,"Is Science Akin To Religion?","Science and religion both use personal experience as a means to understand existence",13,59.63855,50,1,12191.2871999998
35,132,"Is social media helping or harming human relationships?","Social media allows users to connect with more people",9,36.14458,33.01205,0,6160.43360000022
36,126,"Is Science Akin To Religion?","Surveying definitions of religion shows a focus on divinity and spirituality, which are not present in Western science at all",20,50,50,1,10300.2295999995
37,217,"Is Eating Meat Wrong?","Consuming meat is an important part of many cultures and religions",11,79.03614,26.26506,0,4250.28009999997
38,188,"Should religion be involved in politics?","The involvement of religion in politics is necessary to ensure laws and policies are ethical",15,41.20482,36.38554,1,10541.8063999998
39,124,"Is Science Akin To Religion?","Unlike religion, science is based on evidence and experimentation, which is a more reliable methodology for attaining truth",18,68.43373,50,0,8767.84639999957
40,200,"Should the sale of genetically modified food be banned?","Genetically modified foods can be harmful to the environment and ecosystems",11,74.33735,29.15663,0,6708.77610000002
41,242,"Will man-made climate change cause human extinction?","Man-made carbon emissions are likely to protect humans from another ice age",12,68.31325,20,0,8921.89440000139
42,115,"Is radiation from cell phones and Wi-Fi harmful?","The effects of cell phones and Wi-Fi are minimal at best",11,50,29.15663,0,2966.26320000016
43,107,"Is it ethically wrong to watch pornography?","Watching pornography contributes to human rights abuses, including gender inequality",10,71.3253,26.62651,0,5699.67519999982
44,199,"Should the sale of genetically modified food be banned?","Genetically modified food endangers the health of people who consume it",11,72.40964,31.92771,0,7309.9248000005
45,166,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","The ability for people to control their own reproduction is fundamental to achieving gender equality",15,82.77108,81.08434,0,15808.4991999994
46,123,"Is Science Akin To Religion?","Science is highly dynamic and constantly evolving; religions are usually static and conservatory",13,71.3253,50,1,19815.7559999997
