"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,173,"Should abortion be considered murder?","Since death is the intention, such procedures should be considered murder",11,5.42169,40,0,3529.75839999999
2,153,"Is modern technology a disadvantage to society?","Our society is changing at a pace that must be matched by technological development to prevent disaster",17,30.72289,50,0,3295.60319999991
3,272,"Should there be no limit to freedom of speech?","Censorship leads to narrow mindedness by preventing sincere and open discussion",11,76.50602,50,0,3215.78479999999
4,149,"Is modern technology a disadvantage to society?","Relying too heavily on technology makes a society vulnerable",9,67.22892,50,0,1783.9712
5,134,"Is social media helping or harming human relationships?","Social media is shown to induce depression in individuals",9,80.12048,19.27711,0,4158.21120000005
6,152,"Is modern technology a disadvantage to society?","Modern Technology is outpacing our ability to comprehend, write and approve any effective policy that can protect us from technological harm",21,58.31325,32.16867,0,4590.64000000007
7,286,"Should we adapt to climate change rather than avert it?","Adapting to climate change would be faster than averting it",10,59.63855,20,1,3592.7815999999
8,188,"Should religion be involved in politics?","The involvement of religion in politics is necessary to ensure laws and policies are ethical",15,5.3012,50,0,3383.30479999993
9,247,"Should all drugs be legalised?","Using drugs can be an important and positive experience for individuals and communities",13,62.77108,50,0,5107.21439999997
10,62,"Do electronic devices help or hurt children's development?","Boredom sparks creativity but with a smartphone children are never bored and don't learn to be creative",17,85.54217,39.15663,0,6616.62240000005
11,143,"Should lottery be an integral component of democratic political systems?","Being appointed to a position of power by lottery would leave many people overwhelmed and unprepared",16,27.46988,62.77108,1,6441.82719999994
12,194,"Should religion be involved in politics?","Politics and religion should be put aside. Three aspects of life should NOT co-exist: religion-state-army",15,97.22892,50,0,3266.83040000003
13,167,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","If people have the right to choose, they could make biased choices regarding which foetuses to abort",17,62.40964,27.46988,0,2716.52719999998
14,162,"Should some people feel obliged to change their lifestyle to combat global warming?","People living in privileged positions have a moral responsibility to change their lifestyles",13,95.42169,20,0,2958.47920000003
15,151,"Is modern technology a disadvantage to society?","We are unable to enjoy the present moments in our life due to technology",14,74.93976,14.6988,0,2399.90880000001
